counter,paper_id,Author,Journal,Inependent_Variable,Region,Country,Unit_of_analysis,Sample_size,Time_span,pop_density,Scopus_keywords,Def_pop_dens,Method,Countries,small_large
1,3,Nguimkeu and Tadadjeu (2020),World Development,Active infected cases,World,Sub-Saharan Africa,Countries,182,January 22 - Apr 10 2020,Positive,Africa; COVID-19; Pandemic; Regression analysis; Sub-Saharan Africa; COVID-19; demography; disease spread; epidemic; epidemiology; geographical distribution; regression analysis; viral disease,People per square kilometer of land area,OLS,NA,Large Geographical Areas
2,4,Andersen et al. (2020),Science of the Total Environment,Active infected cases,North America,United States,Counties,3142,January 22 - June 30  2020,Positive,"Cluster analysis; Counties; COVID-19; Regression; Spatial determinants; Betacoronavirus; COVID-19; Humans; Pandemics; Pneumonia, Viral; United States; United States;     cluster analysis; COVID-19; disease transmission; epidemic; mortality; regression analysis; risk factor; socioeconomic status; spatial analysis; viral disease",People per square mile of land area,Spatial regression,United States,Small Geographical Areas
3,5,Coskun et al. (2020),Science of the Total Environment,Active infected cases,Middle East,Turkey,Provinces,81,March 10 - Apr 1 2020,Positive,"Climate; COVID-19 virus; Population density; Respiratory transmission; Wind speed; Betacoronavirus; Cities; Coronavirus Infections; Humans; Humidity; Pandemics; Pneumonia, Viral; Population Density; Temperature; Turkey; Wind; Air pollution; Population distribution; Population dynamics",People per square meter of land area,Hierarchical regression,Turkey,Large Geographical Areas
4,6,Sugg et al. (2020),Science of the Total Environment,U.S. Covid-19 cases in nursing homes,North America,United States,Nursing homes,13709,"February 15 - June 30, 2020",Positive,"COVID-19; Multilevel models; Nursing homes; Spatial analysis; Aged; Betacoronavirus; Coronavirus Infections; Cross-Sectional Studies; Humans; Medicare; Nursing Homes; Pandemics; Pneumonia, Viral; United States;     Cluster analysis;     COVID-19; disease spread; disease transmission; epidemic; GIS; health risk; population outbreak; risk factor; satellite data; viral diseaseHealth insurance; Multivariant analysis; Nursing; Personnel selection; Population statistics; Risk analysis; Risk assessment; Surveys; Transmissions",People per square mile of land area,Poisson,United States,Small Geographical Areas
5,12,Wu et al. (2020a),Science of the Total Environment,Confirmed COVID-19 cases,Asia,China,Provinces,341,"Jan 20 - Feb 29, 2020",Positive,City-level; COVID-19; Environment impact; GWR model; Interactive effect; Two-stage; China; Cities; COVID-19; Humans; SARS-CoV-2; Travel; COVID-19; disease incidence; disease spread; environmental impact; human activity; modeling; regression analysis; spatial analysis; urban area; viral disease;     Disease incidence; Effect of environments; Environment impact; Geographically weighted regression models; Human environment; Interactive effect; Natural environments; Spatial heterogeneity,"10,000 people per square kilometer of land area",OLS,China,Small Geographical Areas
6,15,Selcuk et al. (2020),Earth Systems and Environment,Confirmed COVID-19 cases,Middle East,Turkey,Provinces,81,"March 10 - April 1, 2020.",Positive,COVID-19; Environment health; Population density; Turkey; Weather; Coronavirus; Meleagris gallopavo; atmospheric pressure; COVID-19; dew point; disease transmission; environmental factor; population density,People per square kilometer of land area,OLS,Turkey,Large Geographical Areas
7,19,Liang and Shen (2020),Epidemiology and Infection,Confirmed COVID-19 cases,Asia,China,Provinces,22,"Jaunuary 19 - March 12, 2020",Positive,COVID-19; first-level response; major public health emergency; spline regression; China; COVID-19; Emergencies; Humans; Public Health; Regression Analysis; SARS-CoV-2; epidemiology,NA,Spline regression,China,Large Geographical Areas
8,22,Parvin et al. (2020),Spatial Information Research,Confirmed COVID-19 cases,Asia,India,Districts,739,"January 30 - 17 May, 2020",Positive,COVID-19; Foreign tourist arrivals; Hotspot analysis; India; Population pattern; Spatial autocorrelation;,People per square kilometer of land area,Spatial regression,India,Small Geographical Areas
10,26,Lulbadda et al. (2020),Clinical Epidemiology and Global Health,Confirmed COVID-19 cases,World,World,Countries,58,"January 22  - March 22, 2020",No association,Coronavirus; COVID-19 outbreak; Median age; Population size; Temperature; age; Article; coronavirus disease 2019; epidemic; gross national product; health care facility; human; population size; priority journal,Number of people,Negative Binomial,"Turkey, Poland, Ghana, Italy, Israel, Morocco, China, Pakistan, Argentina, Iran, Qatar, Republic of Moldova, Spain, Bangladesh, Luxembourg, Brazil, Ukraine, Sweden, Peru, Belarus, Algeria, Germany, United States, Hungary, Netherlands, Romania, Tajikistan, Switzerland, Indonesia, Uzbekistan, Portugal, Serbia, Egypt, Ecuador, Denmark, Cameroon, Saudi Arabia, South Korea, Bolivia, Ireland, Panama, Bahrain, United Kingdom, Czech Republic, Australia, Chile, Norway, Puerto Rico, France, Colombia, Kuwait, Belgium, Dominican Republic, Greece, Austria, South Africa, Mexico, Kazakhstan",Large Geographical Areas
11,28,Buja et al. (2020),PLOS One,Confirmed COVID-19 cases,Europe,Italy,Regions,19,"February 24 - March 30, 2020",Positive,"Adolescent; Aged; Child; Child, Preschool; COVID-19; Delivery of Health Care; Demography; Economic Factors; Female; Health Facilities; Health Resources; Humans; Infant; Infant, Newborn; Italy; Male; Pandemics; SARS-CoV-2; Socioeconomic Factors",People per square kilometer of land area,OLS,Italy,Large Geographical Areas
